SUPPLIER-F;RUT-F;CONTRACT;INVOICE-F;DOCUMENT TYPE;RELATION;CLAUSE;;
INGENIERIA CALCULO Y CONSTRUCCION JLS INGENIERIA LIMITADA;76736320;DES-JLSS-2023-001;818;;;;;
INGENIERIA CALCULO Y CONSTRUCCION JLS INGENIERIA LIMITADA;76736320;DES-JLSS-2023-001;823;;;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;31;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;33;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;35;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;37;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;38;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;42;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;44;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;47;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;48;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;50;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;51;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;52;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;53;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-002;54;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;56;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;57;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;58;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-002;60;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;67;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;69;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;72;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;73;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;75;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;76;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;78;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;79;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;82;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;83;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-002;84;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;85;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;87;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;88;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;89;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;90;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;91;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;92;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;94;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;95;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;96;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;97;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;98;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;100;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;99;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;101;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;102;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;103;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;104;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;105;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;106;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;107;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;110;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;112;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;113;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;114;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;115;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;116;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;117;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;118;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;119;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;120;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;121;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;122;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;123;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;124;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;125;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;126;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;127;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;128;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;129;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;130;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;131;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;132;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;133;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;135;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;136;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;138;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;139;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;PO94;140;;PO;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;141;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;142;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;143;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;144;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;145;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;146;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;147;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;148;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-002;149;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;151;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;152;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-002;153;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;155;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;156;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;158;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;159;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;160;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;161;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;162;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;163;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;164;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2021-001;165;;CON;;;
CONSULTORA DANIEL MAURICIO ULLOA ILUFFÍ EMPRESA INDIVIDUAL DE RESPONSABILIDAD;77128918;DEV-ILUF-2022-003;167;;CON;;;
