SUPPLIER-F;RUT-F;CONTRACT;INVOICE-F;DOCUMENT TYPE;RELATION;CLAUSE;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2022-002;123;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2022-002;124;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;125;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2022-002;132;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2022-002;151;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;152;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;No Contract;158;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;166;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;183;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;No Contract;195;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;199;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;217;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;No Contract;219;;;;;
RCM MODULAR CHILE S.A;76207287;No Contract;1261;;;;;
RCM MODULAR CHILE S.A;76207287;No Contract;1295;;;;;
RCM MODULAR CHILE S.A;76207287;No Contract;1326;;;;;
AP ECOLOGY SPA;76263385;DEV-APEC-2022-001;487;;CON;;;
AP ECOLOGY SPA;76263385;DEV-APEC-2022-001;532;;CON;;;
AP ECOLOGY SPA;76263385;DEV-APEC-2022-001;633;;CON;;;
AP ECOLOGY SPA;76263385;DEV-APEC-2022-001;647;;AD3;;;
ALPHA INGENIEROS CONSULTORES SPA;76545731;DES-ALPH-2023-001;14;;CON;;;
ALPHA INGENIEROS CONSULTORES SPA;76545731;DES-ALPH-2023-001;18;;CON;;;
ALPHA INGENIEROS CONSULTORES SPA;76545731;DES-ALPH-2023-001;20;;CON;;;
ALPHA INGENIEROS CONSULTORES SPA;76545731;DES-ALPH-2023-001;27;;CON;;;
ALPHA INGENIEROS CONSULTORES SPA;76545731;DES-ALPH-2023-001;29;;CON;;;
ALPHA INGENIEROS CONSULTORES SPA;76545731;DES-ALPH-2023-001;32;;AD1;;;
ALPHA INGENIEROS CONSULTORES SPA;76545731;DES-ALPH-2023-001;42;;AD2;;;
INGENIERIA CALCULO Y CONSTRUCCION JLS INGENIERIA LIMITADA;76736320;DES-JLSS-2023-001;764;;;;;
INGENIERIA CALCULO Y CONSTRUCCION JLS INGENIERIA LIMITADA;76736320;DES-JLSS-2023-001;774;;;;;
INGENIERIA CALCULO Y CONSTRUCCION JLS INGENIERIA LIMITADA;76736320;DES-JLSS-2023-001;784;;;;;
INGENIERIA CALCULO Y CONSTRUCCION JLS INGENIERIA LIMITADA;76736320;DES-JLSS-2023-001;793;;;;;
INGENIERIA CALCULO Y CONSTRUCCION JLS INGENIERIA LIMITADA;76736320;DES-JLSS-2023-001;808;;;;;
